crop,season,soil_moisture_pct,temperature,rainfall_forecast_mm,irrigation_needed,water_liters_per_sqm,irrigation_schedule
jute,Kharif,35.2,28.04,41.8,No,0.0,Every 1-3 days
pigeonpeas,Rabi,49.3,37.06,54.7,No,0.0,Every 4-6 days
kidneybeans,Zaid,5.7,20.54,97.4,No,0.0,Every 4-6 days
muskmelon,Rabi,50.6,27.55,11.5,Yes,14.81,Every 1-3 days
grapes,Kharif,43.0,32.87,52.7,No,0.0,Every 4-6 days
muskmelon,Rabi,43.2,39.0,117.6,No,0.0,Every 1-3 days
watermelon,Rabi,16.5,25.08,15.2,Yes,19.0,Every 1-3 days
maize,Rabi,34.1,29.49,118.1,No,0.0,Every 4-6 days
watermelon,Kharif,23.4,32.0,19.5,Yes,18.56,Every 1-3 days
kidneybeans,Zaid,36.1,27.13,92.6,No,0.0,Every 4-6 days
maize,Zaid,46.0,30.45,21.4,Yes,12.33,Every 4-6 days
blackgram,Kharif,36.6,33.52,46.2,No,0.0,Every 4-6 days
coffee,Kharif,36.9,26.93,15.6,Yes,11.32,Every 4-6 days
jute,Rabi,61.8,26.78,11.3,Yes,15.12,Every 1-3 days
orange,Kharif,31.1,19.0,48.9,No,0.0,Every 4-6 days
jute,Zaid,66.8,23.47,74.6,No,0.0,Every 4-6 days
coffee,Zaid,34.6,28.25,9.0,Yes,11.59,Every 4-6 days
rice,Zaid,10.6,32.7,133.2,No,0.0,Every 1-3 days
blackgram,Zaid,39.9,28.56,50.9,No,0.0,Every 4-6 days
coconut,Zaid,52.6,24.09,70.7,No,0.0,Every 4-6 days
pigeonpeas,Zaid,20.4,28.02,48.8,No,0.0,Every 4-6 days
rice,Rabi,57.7,28.78,37.6,Yes,15.99,Every 1-3 days
mungbean,Zaid,56.7,24.74,96.1,No,0.0,Every 4-6 days
maize,Kharif,44.2,33.79,19.8,Yes,12.89,Every 4-6 days
orange,Kharif,15.0,25.37,78.6,No,0.0,Every 4-6 days
apple,Kharif,60.2,30.36,41.8,No,0.0,Every 4-6 days
watermelon,Kharif,56.8,15.33,44.4,No,0.0,Every 4-6 days
cotton,Zaid,30.3,32.58,38.8,Yes,13.76,Every 4-6 days
orange,Kharif,34.2,23.93,112.5,No,0.0,Every 4-6 days
coffee,Rabi,20.9,26.73,60.2,No,0.0,Every 4-6 days
jute,Rabi,58.5,32.7,127.1,No,0.0,Every 4-6 days
papaya,Zaid,34.3,33.2,52.8,No,0.0,Every 4-6 days
jute,Zaid,41.6,24.59,32.0,Yes,16.04,Every 1-3 days
kidneybeans,Kharif,12.2,25.68,78.6,No,0.0,Every 4-6 days
watermelon,Kharif,20.7,24.07,78.0,No,0.0,Every 1-3 days
pomegranate,Rabi,33.7,33.38,52.0,No,0.0,Every 4-6 days
orange,Kharif,38.4,21.15,109.6,No,0.0,Every 4-6 days
cotton,Zaid,41.6,17.97,17.9,Yes,11.25,Every 4-6 days
chickpea,Rabi,40.0,31.53,33.9,Yes,10.67,Every 4-6 days
rice,Zaid,40.1,32.88,28.0,Yes,17.58,Every 1-3 days
papaya,Kharif,47.2,31.15,18.3,Yes,12.36,Every 4-6 days
apple,Kharif,34.6,30.3,71.4,No,0.0,Every 4-6 days
pigeonpeas,Rabi,52.1,22.83,13.3,Yes,11.52,Every 4-6 days
banana,Kharif,21.1,34.94,39.6,Yes,20.53,Every 1-3 days
pomegranate,Zaid,50.0,20.78,14.1,Yes,10.84,Every 4-6 days
papaya,Rabi,35.3,25.14,28.6,Yes,11.49,Every 4-6 days
blackgram,Kharif,27.4,26.32,24.5,Yes,12.18,Every 4-6 days
pigeonpeas,Rabi,53.6,41.04,126.9,No,0.0,Every 4-6 days
cotton,Zaid,66.7,27.32,48.7,No,0.0,Every 4-6 days
mothbeans,Kharif,62.6,30.09,11.9,Yes,10.15,Every 4-6 days
blackgram,Zaid,32.6,20.46,19.9,Yes,11.87,Every 4-6 days
mungbean,Rabi,35.9,30.43,143.8,No,0.0,Every 4-6 days
muskmelon,Kharif,59.1,25.16,58.5,No,0.0,Every 4-6 days
chickpea,Zaid,42.2,35.91,28.5,Yes,12.87,Every 4-6 days
coconut,Rabi,38.8,23.29,41.9,No,0.0,Every 4-6 days
lentil,Zaid,62.5,36.36,29.1,Yes,10.78,Every 4-6 days
orange,Zaid,44.3,26.92,22.5,Yes,13.28,Every 4-6 days
chickpea,Kharif,35.1,20.81,93.8,No,0.0,Every 4-6 days
lentil,Rabi,21.2,27.65,24.3,Yes,13.47,Every 4-6 days
papaya,Rabi,60.4,35.74,27.2,Yes,12.51,Every 4-6 days
coffee,Rabi,41.3,29.32,49.3,No,0.0,Every 4-6 days
orange,Zaid,52.5,29.64,62.8,No,0.0,Every 4-6 days
mothbeans,Kharif,37.5,31.76,20.6,Yes,13.58,Every 4-6 days
coffee,Rabi,42.9,22.54,30.8,Yes,9.13,Every 4-6 days
watermelon,Zaid,38.7,19.56,36.8,Yes,14.29,Every 1-3 days
pomegranate,Zaid,48.0,34.1,152.8,No,0.0,Every 4-6 days
orange,Kharif,48.2,22.22,37.8,Yes,9.31,Every 4-6 days
apple,Kharif,56.4,23.38,18.3,Yes,11.05,Every 4-6 days
mothbeans,Zaid,63.2,24.19,107.2,No,0.0,Every 7-10 days
kidneybeans,Kharif,57.9,34.24,25.6,Yes,10.9,Every 4-6 days
muskmelon,Kharif,18.5,27.37,65.1,No,0.0,Every 1-3 days
grapes,Zaid,47.3,26.96,21.0,Yes,12.96,Every 4-6 days
apple,Zaid,58.2,22.26,70.2,No,0.0,Every 4-6 days
mothbeans,Rabi,30.7,35.74,27.5,Yes,14.47,Every 1-3 days
pigeonpeas,Rabi,49.9,26.46,52.0,No,0.0,Every 4-6 days
banana,Rabi,34.7,30.28,103.1,No,0.0,Every 1-3 days
rice,Kharif,44.0,25.72,55.2,No,0.0,Every 1-3 days
muskmelon,Kharif,57.7,28.82,11.9,Yes,14.08,Every 1-3 days
pigeonpeas,Kharif,75.0,28.63,80.3,No,0.0,Every 4-6 days
kidneybeans,Kharif,79.0,21.28,59.6,No,0.0,Every 7-10 days
mothbeans,Kharif,46.5,28.7,67.1,No,0.0,Every 4-6 days
lentil,Zaid,51.8,29.96,77.0,No,0.0,Every 4-6 days
pomegranate,Kharif,54.0,35.52,75.9,No,0.0,Every 4-6 days
watermelon,Rabi,38.7,32.26,174.2,No,0.0,Every 4-6 days
blackgram,Rabi,46.7,33.28,46.8,No,0.0,Every 4-6 days
lentil,Kharif,38.1,28.61,49.2,No,0.0,Every 4-6 days
pomegranate,Kharif,53.1,17.06,30.1,Yes,10.98,Every 4-6 days
mango,Kharif,51.9,32.38,9.8,Yes,12.28,Every 4-6 days
pigeonpeas,Rabi,56.5,12.46,43.8,No,0.0,Every 4-6 days
rice,Zaid,60.4,25.47,45.0,No,0.0,Every 4-6 days
pigeonpeas,Rabi,53.2,26.2,30.9,Yes,10.89,Every 4-6 days
blackgram,Zaid,41.9,32.6,221.0,No,0.0,Every 7-10 days
orange,Zaid,14.0,27.85,21.7,Yes,14.7,Every 1-3 days
kidneybeans,Kharif,71.7,24.26,16.0,Yes,7.42,Every 4-6 days
muskmelon,Zaid,45.5,25.01,62.3,No,0.0,Every 1-3 days
banana,Rabi,36.2,20.32,15.7,Yes,15.88,Every 1-3 days
mungbean,Kharif,28.0,24.36,51.8,No,0.0,Every 4-6 days
coconut,Kharif,46.0,31.04,37.6,Yes,11.09,Every 4-6 days
kidneybeans,Kharif,36.1,20.88,33.3,Yes,11.0,Every 4-6 days
apple,Kharif,57.3,31.73,81.5,No,0.0,Every 4-6 days
rice,Rabi,23.3,21.39,49.6,No,0.0,Every 1-3 days
coconut,Kharif,27.5,24.23,51.5,No,0.0,Every 4-6 days
pomegranate,Zaid,39.3,29.7,62.7,No,0.0,Every 4-6 days
chickpea,Kharif,13.1,30.36,32.1,Yes,15.38,Every 1-3 days
blackgram,Rabi,40.1,17.84,28.9,Yes,12.74,Every 4-6 days
pigeonpeas,Rabi,33.8,23.17,3.5,Yes,13.35,Every 4-6 days
rice,Rabi,36.4,35.25,7.3,Yes,19.98,Every 1-3 days
cotton,Rabi,37.2,24.47,9.8,Yes,13.69,Every 4-6 days
grapes,Kharif,16.4,35.5,76.1,No,0.0,Every 4-6 days
chickpea,Kharif,48.3,32.1,5.4,Yes,12.88,Every 4-6 days
mango,Rabi,65.3,25.53,40.5,No,0.0,Every 4-6 days
chickpea,Kharif,30.8,29.08,35.0,Yes,15.07,Every 4-6 days
pomegranate,Kharif,42.6,28.9,75.8,No,0.0,Every 4-6 days
maize,Rabi,60.7,25.38,70.9,No,0.0,Every 4-6 days
muskmelon,Zaid,41.1,44.68,21.1,Yes,20.32,Every 1-3 days
watermelon,Rabi,41.8,25.57,77.1,No,0.0,Every 1-3 days
mango,Rabi,51.9,26.23,24.4,Yes,9.43,Every 4-6 days
coconut,Zaid,48.0,35.93,17.3,Yes,13.17,Every 4-6 days
lentil,Kharif,66.8,20.88,69.9,No,0.0,Every 4-6 days
mungbean,Zaid,66.3,25.96,47.2,No,0.0,Every 4-6 days
papaya,Rabi,33.3,22.39,40.8,No,0.0,Every 4-6 days
watermelon,Kharif,53.0,25.95,50.5,No,0.0,Every 1-3 days
muskmelon,Zaid,54.9,31.27,57.1,No,0.0,Every 1-3 days
papaya,Kharif,59.0,30.99,7.4,Yes,10.79,Every 4-6 days
jute,Rabi,13.2,27.11,150.9,No,0.0,Every 1-3 days
pigeonpeas,Rabi,35.1,19.43,238.7,No,0.0,Every 7-10 days
cotton,Kharif,63.2,25.53,24.2,Yes,10.7,Every 4-6 days
lentil,Rabi,32.3,26.1,47.6,No,0.0,Every 4-6 days
rice,Kharif,27.4,29.01,44.5,No,0.0,Every 1-3 days
orange,Kharif,50.4,27.34,61.5,No,0.0,Every 4-6 days
coconut,Zaid,63.4,32.7,74.9,No,0.0,Every 4-6 days
apple,Kharif,57.5,21.82,128.8,No,0.0,Every 7-10 days
coconut,Kharif,47.2,33.69,73.4,No,0.0,Every 4-6 days
cotton,Zaid,32.3,33.49,56.7,No,0.0,Every 4-6 days
muskmelon,Kharif,19.4,21.77,82.2,No,0.0,Every 1-3 days
mango,Zaid,55.7,27.47,16.5,Yes,12.4,Every 4-6 days
watermelon,Kharif,60.9,19.8,17.9,Yes,13.75,Every 4-6 days
pomegranate,Kharif,30.2,34.29,44.7,No,0.0,Every 4-6 days
apple,Rabi,12.1,22.85,45.6,No,0.0,Every 4-6 days
coconut,Kharif,60.9,23.51,52.4,No,0.0,Every 4-6 days
jute,Kharif,20.4,32.59,13.4,Yes,20.36,Every 1-3 days
mango,Zaid,35.0,25.73,93.4,No,0.0,Every 4-6 days
watermelon,Rabi,43.8,25.19,39.0,Yes,16.99,Every 1-3 days
mango,Rabi,42.0,26.93,85.5,No,0.0,Every 4-6 days
watermelon,Rabi,53.2,23.46,66.3,No,0.0,Every 4-6 days
mango,Kharif,48.2,20.96,82.0,No,0.0,Every 4-6 days
coffee,Rabi,66.5,29.22,3.3,Yes,11.38,Every 4-6 days
rice,Zaid,49.5,32.15,17.0,Yes,16.54,Every 1-3 days
banana,Zaid,28.1,26.85,39.4,Yes,15.67,Every 1-3 days
papaya,Zaid,31.6,18.87,38.7,Yes,10.52,Every 4-6 days
mothbeans,Zaid,52.5,24.34,12.1,Yes,10.69,Every 4-6 days
grapes,Kharif,65.0,26.23,12.9,Yes,10.35,Every 4-6 days
jute,Kharif,56.4,22.87,32.1,Yes,13.1,Every 4-6 days
coconut,Kharif,44.0,25.42,91.3,No,0.0,Every 4-6 days
blackgram,Rabi,75.4,30.14,30.8,Yes,7.6,Every 4-6 days
papaya,Kharif,61.3,38.93,100.2,No,0.0,Every 4-6 days
orange,Kharif,34.9,31.69,34.2,Yes,12.42,Every 4-6 days
mango,Rabi,44.9,24.99,134.4,No,0.0,Every 4-6 days
cotton,Rabi,55.0,22.44,42.5,No,0.0,Every 4-6 days
papaya,Rabi,59.3,27.1,20.4,Yes,9.42,Every 4-6 days
blackgram,Zaid,25.2,27.24,95.9,No,0.0,Every 4-6 days
rice,Rabi,24.5,30.73,9.3,Yes,19.23,Every 1-3 days
blackgram,Kharif,32.2,21.19,34.6,Yes,13.29,Every 4-6 days
blackgram,Rabi,20.6,28.25,71.5,No,0.0,Every 4-6 days
pigeonpeas,Rabi,35.4,30.87,49.6,No,0.0,Every 4-6 days
blackgram,Zaid,37.5,23.41,35.5,Yes,10.14,Every 4-6 days
mango,Rabi,45.1,31.69,101.8,No,0.0,Every 4-6 days
orange,Zaid,25.9,28.02,26.9,Yes,14.44,Every 4-6 days
pomegranate,Kharif,41.4,36.0,61.7,No,0.0,Every 4-6 days
lentil,Kharif,57.6,32.79,47.1,No,0.0,Every 4-6 days
pigeonpeas,Zaid,42.3,28.61,18.7,Yes,11.8,Every 4-6 days
watermelon,Zaid,39.5,13.07,30.3,Yes,13.47,Every 4-6 days
rice,Zaid,31.2,28.33,48.0,No,0.0,Every 1-3 days
coconut,Zaid,56.4,30.04,35.5,Yes,12.53,Every 4-6 days
jute,Kharif,51.7,19.94,16.0,Yes,13.05,Every 1-3 days
coconut,Rabi,49.9,31.65,147.0,No,0.0,Every 4-6 days
mungbean,Zaid,53.4,30.81,46.0,No,0.0,Every 4-6 days
mango,Kharif,45.8,25.97,54.4,No,0.0,Every 4-6 days
coffee,Kharif,42.4,27.03,99.9,No,0.0,Every 4-6 days
coconut,Kharif,44.3,34.33,41.7,No,0.0,Every 4-6 days
pigeonpeas,Kharif,49.5,26.62,20.5,Yes,10.65,Every 4-6 days
coffee,Rabi,35.7,30.65,77.4,No,0.0,Every 4-6 days
mungbean,Rabi,30.4,33.67,31.8,Yes,13.95,Every 4-6 days
orange,Rabi,29.6,31.91,19.9,Yes,15.63,Every 4-6 days
rice,Zaid,32.2,30.82,48.0,No,0.0,Every 1-3 days
pigeonpeas,Rabi,14.7,27.23,9.9,Yes,16.2,Every 1-3 days
coffee,Kharif,62.8,19.33,38.2,Yes,8.49,Every 4-6 days
lentil,Kharif,50.8,28.44,13.4,Yes,11.46,Every 4-6 days
cotton,Zaid,45.4,28.35,55.4,No,0.0,Every 4-6 days
maize,Kharif,36.4,26.13,103.1,No,0.0,Every 4-6 days
banana,Zaid,47.3,24.63,33.7,Yes,14.67,Every 1-3 days
blackgram,Zaid,58.0,31.44,73.1,No,0.0,Every 4-6 days
watermelon,Zaid,50.8,22.99,170.8,No,0.0,Every 4-6 days
grapes,Kharif,32.3,31.83,18.3,Yes,15.77,Every 4-6 days
chickpea,Rabi,27.0,27.29,3.5,Yes,14.68,Every 4-6 days
rice,Rabi,40.8,25.09,16.9,Yes,16.17,Every 1-3 days
coconut,Kharif,62.6,28.06,49.9,No,0.0,Every 4-6 days
cotton,Kharif,43.5,27.81,37.3,Yes,13.28,Every 4-6 days
cotton,Rabi,41.5,24.25,59.8,No,0.0,Every 4-6 days
maize,Zaid,34.6,26.64,6.5,Yes,14.12,Every 4-6 days
orange,Zaid,35.3,23.83,90.8,No,0.0,Every 4-6 days
lentil,Kharif,40.3,33.38,34.7,Yes,13.52,Every 4-6 days
pigeonpeas,Rabi,33.5,21.22,20.6,Yes,10.49,Every 4-6 days
kidneybeans,Kharif,48.4,25.4,12.8,Yes,10.64,Every 4-6 days
grapes,Rabi,32.0,24.3,8.1,Yes,12.99,Every 4-6 days
banana,Zaid,53.4,25.94,89.8,No,0.0,Every 4-6 days
rice,Rabi,50.6,21.88,157.1,No,0.0,Every 4-6 days
pigeonpeas,Zaid,50.9,24.81,42.8,No,0.0,Every 4-6 days
orange,Zaid,21.6,40.05,13.1,Yes,16.92,Every 1-3 days
chickpea,Rabi,54.5,27.5,29.9,Yes,9.67,Every 4-6 days
chickpea,Kharif,44.4,22.13,53.5,No,0.0,Every 4-6 days
pomegranate,Rabi,36.7,25.18,10.0,Yes,13.24,Every 4-6 days
jute,Rabi,33.1,33.42,26.3,Yes,19.52,Every 1-3 days
chickpea,Rabi,26.1,29.1,22.9,Yes,14.0,Every 4-6 days
rice,Rabi,44.3,22.15,12.9,Yes,15.84,Every 1-3 days
grapes,Kharif,51.2,32.9,55.7,No,0.0,Every 4-6 days
mothbeans,Kharif,50.8,25.04,71.2,No,0.0,Every 4-6 days
orange,Kharif,56.2,26.19,27.1,Yes,11.3,Every 4-6 days
coconut,Rabi,48.6,27.68,14.6,Yes,12.19,Every 4-6 days
maize,Rabi,27.5,26.26,34.3,Yes,12.02,Every 4-6 days
cotton,Rabi,37.9,27.77,31.1,Yes,11.35,Every 4-6 days
coconut,Kharif,28.7,32.31,36.5,Yes,14.71,Every 4-6 days
maize,Kharif,32.8,22.67,12.3,Yes,11.99,Every 4-6 days
maize,Rabi,38.1,22.35,5.2,Yes,12.04,Every 4-6 days
pigeonpeas,Zaid,51.1,29.05,18.9,Yes,12.14,Every 4-6 days
chickpea,Rabi,34.7,38.73,60.3,No,0.0,Every 4-6 days
apple,Kharif,28.5,28.05,72.2,No,0.0,Every 4-6 days
rice,Kharif,18.2,24.84,92.4,No,0.0,Every 1-3 days
pomegranate,Kharif,65.2,23.13,68.3,No,0.0,Every 4-6 days
papaya,Zaid,68.1,25.92,95.1,No,0.0,Every 4-6 days
mothbeans,Rabi,51.6,25.21,89.6,No,0.0,Every 4-6 days
maize,Zaid,48.4,30.09,14.7,Yes,12.78,Every 4-6 days
muskmelon,Zaid,22.9,24.79,67.6,No,0.0,Every 1-3 days
papaya,Kharif,23.3,25.86,27.6,Yes,12.09,Every 4-6 days
banana,Zaid,64.1,22.38,55.2,No,0.0,Every 4-6 days
orange,Zaid,61.3,28.03,26.5,Yes,9.85,Every 4-6 days
rice,Kharif,56.5,32.89,60.8,No,0.0,Every 1-3 days
watermelon,Kharif,32.9,20.67,81.5,No,0.0,Every 1-3 days
rice,Zaid,24.7,21.13,114.6,No,0.0,Every 4-6 days
mothbeans,Zaid,30.3,22.53,40.3,No,0.0,Every 4-6 days
chickpea,Rabi,45.2,30.6,52.4,No,0.0,Every 4-6 days
pomegranate,Zaid,34.0,41.49,13.5,Yes,16.74,Every 1-3 days
coffee,Rabi,40.1,26.7,71.2,No,0.0,Every 4-6 days
muskmelon,Rabi,61.3,24.88,162.5,No,0.0,Every 4-6 days
kidneybeans,Zaid,25.0,31.43,23.6,Yes,13.99,Every 1-3 days
muskmelon,Rabi,48.5,26.03,30.4,Yes,17.51,Every 1-3 days
chickpea,Zaid,58.3,29.85,17.6,Yes,11.35,Every 4-6 days
cotton,Kharif,27.9,28.72,5.7,Yes,14.58,Every 4-6 days
chickpea,Zaid,52.3,34.48,13.5,Yes,12.96,Every 4-6 days
mungbean,Zaid,49.4,23.6,51.0,No,0.0,Every 4-6 days
banana,Zaid,29.6,29.0,56.8,No,0.0,Every 1-3 days
rice,Kharif,52.9,32.04,145.7,No,0.0,Every 4-6 days
watermelon,Rabi,41.2,26.32,30.2,Yes,15.04,Every 1-3 days
blackgram,Zaid,61.8,25.6,84.5,No,0.0,Every 4-6 days
maize,Kharif,42.3,19.15,69.7,No,0.0,Every 4-6 days
watermelon,Rabi,69.3,30.75,6.4,Yes,12.98,Every 1-3 days
pomegranate,Kharif,38.1,32.43,61.3,No,0.0,Every 4-6 days
jute,Zaid,61.6,26.47,94.4,No,0.0,Every 4-6 days
jute,Rabi,35.0,26.34,103.3,No,0.0,Every 1-3 days
blackgram,Rabi,21.6,30.82,28.0,Yes,15.12,Every 1-3 days
cotton,Kharif,61.4,34.75,115.5,No,0.0,Every 4-6 days
chickpea,Rabi,50.4,30.94,124.2,No,0.0,Every 4-6 days
kidneybeans,Rabi,47.1,31.43,39.6,Yes,12.45,Every 4-6 days
mungbean,Kharif,26.5,29.25,19.7,Yes,13.75,Every 4-6 days
cotton,Rabi,33.5,30.47,22.0,Yes,15.67,Every 4-6 days
orange,Rabi,50.5,30.32,12.9,Yes,13.45,Every 4-6 days
lentil,Kharif,56.3,23.84,125.4,No,0.0,Every 7-10 days
cotton,Zaid,55.5,24.02,61.9,No,0.0,Every 4-6 days
maize,Rabi,52.5,22.7,48.8,No,0.0,Every 4-6 days
mothbeans,Kharif,45.3,31.34,39.3,Yes,12.89,Every 4-6 days
cotton,Zaid,51.4,26.63,102.8,No,0.0,Every 4-6 days
rice,Kharif,39.4,22.2,63.1,No,0.0,Every 1-3 days
pigeonpeas,Rabi,33.0,22.77,76.0,No,0.0,Every 4-6 days
grapes,Rabi,37.4,27.4,53.7,No,0.0,Every 4-6 days
banana,Zaid,38.8,26.44,24.2,Yes,16.34,Every 1-3 days
lentil,Kharif,59.4,23.6,81.6,No,0.0,Every 4-6 days
muskmelon,Rabi,56.4,23.59,108.8,No,0.0,Every 4-6 days
coffee,Zaid,45.8,27.87,34.8,Yes,10.54,Every 4-6 days
coconut,Zaid,78.2,22.56,41.1,No,0.0,Every 4-6 days
muskmelon,Zaid,41.0,27.57,72.5,No,0.0,Every 1-3 days
apple,Kharif,39.3,22.3,44.8,No,0.0,Every 4-6 days
coconut,Zaid,62.0,22.91,10.3,Yes,9.16,Every 4-6 days
jute,Rabi,36.3,29.1,90.6,No,0.0,Every 1-3 days
lentil,Kharif,46.5,32.08,51.0,No,0.0,Every 4-6 days
papaya,Rabi,16.3,30.59,22.6,Yes,16.36,Every 1-3 days
lentil,Rabi,43.6,26.89,40.0,Yes,10.27,Every 4-6 days
maize,Kharif,30.5,26.02,51.5,No,0.0,Every 4-6 days
chickpea,Rabi,50.1,27.34,13.2,Yes,12.05,Every 4-6 days
coconut,Rabi,39.0,33.54,39.3,Yes,12.41,Every 4-6 days
watermelon,Kharif,75.2,32.55,44.0,No,0.0,Every 4-6 days
mango,Zaid,15.8,23.0,35.6,Yes,14.31,Every 4-6 days
coconut,Rabi,56.2,23.96,98.9,No,0.0,Every 4-6 days
lentil,Zaid,45.6,26.19,70.8,No,0.0,Every 4-6 days
watermelon,Zaid,41.7,23.7,51.7,No,0.0,Every 1-3 days
mungbean,Rabi,48.4,26.0,125.7,No,0.0,Every 4-6 days
muskmelon,Kharif,58.6,27.15,21.0,Yes,16.38,Every 1-3 days
mungbean,Kharif,55.9,21.4,63.1,No,0.0,Every 4-6 days
jute,Kharif,27.5,20.61,5.3,Yes,17.36,Every 1-3 days
papaya,Zaid,65.7,30.99,74.2,No,0.0,Every 4-6 days
kidneybeans,Rabi,51.6,30.19,82.7,No,0.0,Every 4-6 days
banana,Rabi,82.0,23.9,60.2,No,0.0,Every 4-6 days
coconut,Rabi,45.5,28.76,42.1,No,0.0,Every 4-6 days
mungbean,Zaid,24.8,32.3,15.1,Yes,15.0,Every 1-3 days
kidneybeans,Zaid,31.9,31.74,79.6,No,0.0,Every 4-6 days
orange,Zaid,40.4,24.89,85.8,No,0.0,Every 4-6 days
mango,Zaid,18.6,26.14,20.6,Yes,14.52,Every 4-6 days
mothbeans,Zaid,24.1,26.6,49.9,No,0.0,Every 4-6 days
rice,Rabi,41.7,34.38,85.4,No,0.0,Every 1-3 days
lentil,Rabi,53.2,25.12,46.2,No,0.0,Every 4-6 days
muskmelon,Zaid,42.8,30.61,24.8,Yes,17.67,Every 1-3 days
mungbean,Kharif,44.5,26.55,36.8,Yes,10.92,Every 4-6 days
watermelon,Rabi,29.6,29.71,24.5,Yes,18.04,Every 1-3 days
coffee,Zaid,38.7,34.35,31.3,Yes,13.54,Every 4-6 days
jute,Zaid,55.6,23.03,66.1,No,0.0,Every 4-6 days
orange,Kharif,33.7,31.82,4.5,Yes,15.31,Every 4-6 days
pomegranate,Rabi,30.3,35.91,69.0,No,0.0,Every 4-6 days
jute,Rabi,35.7,13.8,78.1,No,0.0,Every 4-6 days
grapes,Kharif,44.1,30.85,78.3,No,0.0,Every 4-6 days
chickpea,Kharif,37.9,29.37,15.7,Yes,12.47,Every 4-6 days
watermelon,Rabi,34.9,23.8,14.1,Yes,15.41,Every 1-3 days
muskmelon,Rabi,59.5,33.47,96.6,No,0.0,Every 4-6 days
grapes,Kharif,49.4,37.09,54.0,No,0.0,Every 4-6 days
mothbeans,Kharif,15.1,26.91,13.0,Yes,15.3,Every 1-3 days
mango,Zaid,44.6,31.56,14.6,Yes,12.5,Every 4-6 days
blackgram,Rabi,47.4,33.03,83.1,No,0.0,Every 4-6 days
mungbean,Rabi,33.4,24.85,13.7,Yes,13.12,Every 4-6 days
orange,Rabi,48.4,25.55,17.0,Yes,10.79,Every 4-6 days
lentil,Rabi,48.9,16.31,51.4,No,0.0,Every 4-6 days
chickpea,Zaid,47.7,25.23,49.7,No,0.0,Every 4-6 days
lentil,Zaid,81.5,28.11,164.3,No,0.0,Every 7-10 days
watermelon,Kharif,27.0,30.9,59.8,No,0.0,Every 1-3 days
pomegranate,Zaid,11.6,25.85,20.3,Yes,16.85,Every 1-3 days
mango,Kharif,48.7,32.08,5.2,Yes,12.7,Every 4-6 days
pomegranate,Kharif,33.3,26.2,34.7,Yes,11.87,Every 4-6 days
jute,Zaid,39.2,24.24,44.2,No,0.0,Every 1-3 days
kidneybeans,Kharif,43.4,26.17,69.7,No,0.0,Every 4-6 days
apple,Rabi,42.0,22.22,38.3,Yes,8.96,Every 4-6 days
pigeonpeas,Rabi,45.5,32.63,70.1,No,0.0,Every 4-6 days
apple,Rabi,54.3,30.46,63.6,No,0.0,Every 4-6 days
maize,Zaid,49.8,23.15,22.6,Yes,9.69,Every 4-6 days
mothbeans,Zaid,60.9,30.57,76.4,No,0.0,Every 4-6 days
grapes,Rabi,47.2,32.99,57.1,No,0.0,Every 4-6 days
banana,Zaid,47.9,33.01,63.1,No,0.0,Every 1-3 days
orange,Zaid,36.8,24.27,11.4,Yes,13.33,Every 4-6 days
blackgram,Rabi,39.8,33.56,18.4,Yes,13.61,Every 4-6 days
lentil,Rabi,67.1,29.7,55.8,No,0.0,Every 4-6 days
coffee,Rabi,21.9,30.18,21.7,Yes,15.78,Every 1-3 days
orange,Kharif,57.2,28.6,59.4,No,0.0,Every 4-6 days
papaya,Zaid,41.0,29.39,64.4,No,0.0,Every 4-6 days
muskmelon,Zaid,44.2,27.46,27.6,Yes,15.53,Every 1-3 days
maize,Kharif,23.0,24.95,3.4,Yes,15.42,Every 4-6 days
mothbeans,Rabi,64.5,23.22,14.7,Yes,9.78,Every 4-6 days
grapes,Rabi,23.3,24.73,80.5,No,0.0,Every 4-6 days
coconut,Kharif,78.4,27.24,14.3,Yes,9.94,Every 4-6 days
mothbeans,Zaid,59.7,34.93,81.6,No,0.0,Every 4-6 days
orange,Zaid,53.3,29.21,23.0,Yes,11.96,Every 4-6 days
mango,Rabi,65.5,28.75,18.4,Yes,9.7,Every 4-6 days
pigeonpeas,Rabi,39.3,26.11,45.1,No,0.0,Every 4-6 days
cotton,Zaid,37.7,34.55,7.4,Yes,15.3,Every 4-6 days
coffee,Kharif,43.3,20.32,155.0,No,0.0,Every 7-10 days
mango,Zaid,48.2,30.31,20.9,Yes,11.71,Every 4-6 days
banana,Rabi,81.9,15.98,36.8,Yes,9.8,Every 4-6 days
muskmelon,Rabi,14.7,35.41,154.4,No,0.0,Every 1-3 days
mungbean,Kharif,38.3,25.17,97.1,No,0.0,Every 4-6 days
maize,Zaid,49.3,36.04,13.0,Yes,13.19,Every 4-6 days
pomegranate,Kharif,49.5,23.62,145.2,No,0.0,Every 7-10 days
maize,Rabi,34.0,34.01,69.3,No,0.0,Every 4-6 days
blackgram,Rabi,42.0,29.11,75.7,No,0.0,Every 4-6 days
coffee,Rabi,37.7,27.17,7.6,Yes,13.96,Every 4-6 days
watermelon,Kharif,29.7,29.06,30.6,Yes,18.12,Every 1-3 days
rice,Zaid,32.3,20.01,57.2,No,0.0,Every 1-3 days
mango,Rabi,33.3,37.06,43.4,No,0.0,Every 4-6 days
